"source";"fam";"io";"io_short";"fam_single";"fam_orig";"fio_full";"fio_short";"wikidata_id";"wikidata_url"
"Альтшуллер, И. Н.";"Альтшуллер";"И. Н.";"И. Н.";"Альтшуллер";"Альтшуллеру";"";"Альтшуллер, И. Н.";"";""
"Альфонс Дода";"Альфонс Дода";"";"";"Альфонс Дода";"Альфонсу Доде";"";"Альфонс Дода";"";""
"Альфонский, А. А.";"Альфонский";"А. А.";"А. А.";"Альфонский";"Альфонскому";"";"Альфонский, А. А.";"";""
"Альфред Уеструп";"Альфред Уеструп";"";"";"Альфред Уеструп";"Альфреду Уеструпу";"";"Альфред Уеструп";"";""
"Амбруаз Тома";"Амбруаз Тома";"";"";"Амбруаз Тома";"Амбруазу Тома";"";"Амбруаз Тома";"";""
"Амбургер, А. К.";"Амбургер";"А. К.";"А. К.";"Амбургер";"Амбургеру";"";"Амбургер, А. К.";"";""
"Амвросий";"Амвросий";"";"";"Амвросий";"Амвросию";"";"Амвросий";"";""
"Американский телеграфное агентство ""American Cable News""";"Американский телеграфное агентство ""American Cable News""";"";"";"Американский телеграфное агентство ""American Cable News""";"Американскому телеграфному агентству ""American Cable News""";"";"Американский телеграфное агентство ""American Cable News""";"";""
"Амосов, Н. М.";"Амосов";"Н. М.";"Н. М.";"Амосов";"Амосову";"";"Амосов, Н. М.";"";""
"Амфитеатров, А. В.";"Амфитеатров";"А. В.";"А. В.";"Амфитеатров";"Амфитеатрову";"";"Амфитеатров, А. В.";"";""
"Ананьин, А. А.";"Ананьин";"А. А.";"А. А.";"Ананьин";"Ананьину";"";"Ананьин, А. А.";"";""
"Анастасевич, В. Г.";"Анастасевич";"Василий Григорьевич";"В. Г.";"Анастасевич";"Анастасевичу";"Анастасевич, Василий Григорьевич";"Анастасевич, В. Г.";"";""
"Анастасевич, Василий Григорьевич";"Анастасевич";"Василий Григорьевич";"В. Г.";"Анастасевич";"Анастасевич";"Анастасевич, Василий Григорьевич";"Анастасевич, В. Г.";"";""
"Анатоль Франс";"Анатоль Франс";"";"";"Анатоль Франс";"Анатолю Франсу";"";"Анатоль Франс";"";""
"Английская Джорджевская лига";"Английская Джорджевская лига";"";"";"Английская Джорджевская лига";"Английской Джорджевской лиге";"";"Английская Джорджевская лига";"";""
"Анджело Де Губернатис";"Анджело Де Губернатис";"";"";"Анджело Де Губернатис";"Анджело Де Губернатису";"";"Анджело Де Губернатис";"";""
"Андреев, В. Г.";"Андреев";"В. Г.";"В. Г.";"Андреев";"Андрееву";"";"Андреев, В. Г.";"";""
"Андреев, В. Ф.";"Андреев";"В. Ф.";"В. Ф.";"Андреев";"Андрееву";"";"Андреев, В. Ф.";"";""
"Андреев, Л. Н.";"Андреев";"Л. Н.";"Л. Н.";"Андреев";"Андрееву";"";"Андреев, Л. Н.";"";""
"Андреева, А. А.";"Андреева";"А. А.";"А. А.";"Андреева";"Андреевой";"";"Андреева, А. А.";"";""
"Андреева, Е. Ф.";"Андреева";"Е. Ф.";"Е. Ф.";"Андреева";"Андреевой";"";"Андреева, Е. Ф.";"";""
"Андреева, М. Ф.";"Андреева";"М. Ф.";"М. Ф.";"Андреева";"Андреевой";"";"Андреева, М. Ф.";"";""
"Андреевский, И. Е.";"Андреевский";"И. Е.";"И. Е.";"Андреевский";"Андреевскому";"";"Андреевский, И. Е.";"";""
"Андреевский, С. А.";"Андреевский";"Сергей Аркадьевич";"С. А.";"Андреевский";"Андреевскому";"Андреевский, Сергей Аркадьевич";"Андреевский, С. А.";"";""
"Андреевский, Сергей Аркадьевич";"Андреевский";"Сергей Аркадьевич";"С. А.";"Андреевский";"Андреевский";"Андреевский, Сергей Аркадьевич";"Андреевский, С. А.";"";""
"Андриевский, Иван Ефимович";"Андриевский";"Иван Ефимович";"И. Е.";"Андриевский";"Андриевский";"Андриевский, Иван Ефимович";"Андриевский, И. Е.";"";""
"Андроников, П. И.";"Андроников";"П. И.";"П. И.";"Андроников";"Андроникову";"";"Андроников, П. И.";"";""
"Андронов, А. П.";"Андронов";"А. П.";"А. П.";"Андронов";"Андронову";"";"Андронов, А. П.";"";""
"Андронова, Е. Ф.";"Андронова";"Е. Ф.";"Е. Ф.";"Андронова";"Андроновой";"";"Андронова, Е. Ф.";"";""
"Андросов, М.";"Андросов";"М.";"М.";"Андросов";"Андросову";"";"Андросов, М.";"";""
"Андрусенко, Н. А.";"Андрусенко";"Н. А.";"Н. А.";"Андрусенко";"Андрусенко";"";"Андрусенко, Н. А.";"";""
"Андрэ Люткен";"Андрэ Люткен";"";"";"Андрэ Люткен";"Андрэ Люткену";"";"Андрэ Люткен";"";""
"Андрюшин, И. Р.";"Андрюшин";"И. Р.";"И. Р.";"Андрюшин";"Андрюшину";"";"Андрюшин, И. Р.";"";""
"Анжела Сен-Франсуа";"Анжела Сен-Франсуа";"";"";"Анжела Сен-Франсуа";"Анжеле Сен-Франсуа";"";"Анжела Сен-Франсуа";"";""
